#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,13.926311226701344,11.63800689787847
ANOGA,OG676343,ANOGA05773,7.694488188976378,6.610625032531087
ANOGA,OG951333,ANOGA05777,14.051344743276283,5.629976040890882
ANOGA,OG960910,ANOGA05775,65.77473363774733,21.342950906370945
ANOGA,OG848281,ANOGA05255,13.406976744186046,8.63439147727978
ANOGA,OG1221639,ANOGA05250,3.278538812785388,0.8913822123497686
ANOGA,OG964633,ANOGA05249,29.99882075471698,12.960116560081163
ANOGA,OG718578,ANOGA05248,12.976327575175944,10.678340264887614
ANOGA,OG961398,ANOGA05245,21.18723037100949,8.033813946753648
ANOGA,OG411836,ANOGA05239,35.75,12.036948005368744
ANOGA,OG1241986,ANOGA04040,16.14251012145749,7.24308511329251
ANOGA,OG698904,ANOGA04041,30.888739946380696,14.254333117385048
ANOGA,OG1157040,ANOGA04042,18.32439335887612,10.025102852929129
ANOGA,OG958126,ANOGA04045,13.093537414965986,5.697573096273152
ANOGA,OG842298,ANOGA04047,20.74299419338551,15.531924823968415
ANOGA,OG1174245,ANOGA04055,19.200255918106205,8.399354082713907
ANOGA,OG456351,ANOGA04056,12.566058002148228,8.318018056116768
ANOGA,OG1251511,ANOGA04057,28.16188340807175,11.156420663156807
ANOGA,OG961602,ANOGA04058,12.14161220043573,4.8520137559528544
ANOGA,OG953187,ANOGA05445,21.32766990291262,4.758937570893032
ANOGA,OG814084,ANOGA05434,19.242814667988107,8.833416506749105
ANOGA,OG699681,ANOGA05433,1.9305555555555556,0.25420840580171006
ANOGA,OG946387,ANOGA05414,12.038233710285407,8.879747257999538
ANOGA,OG946885,ANOGA05407,16.408476104598737,10.158436522125132
ANOGA,OG1214309,ANOGA05405,15.797927461139896,3.581847708973981
ANOGA,OG341995,ANOGA04081,13.439181746656176,10.991401000204597
ANOGA,OG1079985,ANOGA04086,19.91897233201581,15.25229271944051
ANOGA,OG976835,ANOGA04087,26.143024618991795,13.78377450558193
ANOGA,OG675570,ANOGA04091,10.596045197740112,7.818606386592539
ANOGA,OG971355,ANOGA04093,31.580665411173886,11.53982390585726
ANOGA,OG1223272,ANOGA04094,115.20034767492395,49.38320405756205
ANOGA,OG1224967,ANOGA04095,16.687325516471244,9.44302915990465
ANOGA,OG457329,ANOGA04096,7.522483940042827,3.818840345137233
ANOGA,OG961439,ANOGA04097,16.60430463576159,8.707767409513785
ANOGA,OG998211,ANOGA04098,21.0,11.705623987549426
ANOGA,OG673136,ANOGA04099,14.544117647058824,11.79802660551664
ANOGA,OG1139777,ANOGA04100,4.005649717514125,2.7658064998868417
ANOGA,OG1221689,ANOGA04113,22.365864144453997,10.40242815123279
ANOGA,OG1222683,ANOGA04115,23.482874412357287,12.22400651685253
ANOGA,OG1215812,ANOGA04116,17.682965299684543,6.1100935297271475
ANOGA,OG896170,ANOGA04117,23.991967871485944,13.407807376743785
ANOGA,OG1231177,ANOGA04120,22.4274593064402,9.802212966301923
ANOGA,OG961115,ANOGA04121,19.09852670349908,7.48801729337848
ANOGA,OG911937,ANOGA04125,23.98833981121599,9.913024179433323
ANOGA,OG924410,ANOGA04132,26.176395007342144,10.906402324948013
ANOGA,OG792952,ANOGA04134,21.028195488721803,11.283561223594091
ANOGA,OG792914,ANOGA04135,17.888659793814433,12.778766830527976
ANOGA,OG1244115,ANOGA04136,5.333333333333333,1.630032156406086
ANOGA,OG1170587,ANOGA04139,27.08948775972022,11.418648447370703
ANOGA,OG1226379,ANOGA04627,19.723189734188818,5.310902548932487
ANOGA,OG458150,ANOGA04629,nan,nan
ANOGA,OG975279,ANOGA04631,25.558883594281824,14.02215878811211
ANOGA,OG1174891,ANOGA04632,17.18952062430323,6.225758472269646
ANOGA,OG455346,ANOGA04634,26.632603406326034,10.183418026936074
ANOGA,OG1240929,ANOGA04635,14.949801849405548,7.0707028036646316
ANOGA,OG822311,ANOGA04636,29.78771169751871,14.839360079329124
ANOGA,OG420493,ANOGA04637,20.304606240713223,8.21466775354427
ANOGA,OG665560,ANOGA04640,18.96524064171123,10.858016350132221
ANOGA,OG420768,ANOGA04641,19.06893995552261,11.199272869814129
ANOGA,OG1181227,ANOGA04642,30.74590163934426,11.943328024312825
ANOGA,OG342477,ANOGA04643,30.860548271752087,68.71859828225676
ANOGA,OG966098,ANOGA04644,20.51810822326374,13.2807189129467
ANOGA,OG419349,ANOGA04655,19.20689655172414,13.95460247503834
ANOGA,OG736122,ANOGA04659,18.678057553956833,8.974922326086029
ANOGA,OG1251119,ANOGA04663,31.0475,10.324820115462867
ANOGA,OG796653,ANOGA04674,27.336407553798857,16.818391231769255
ANOGA,OG793899,ANOGA04677,19.485370051635112,11.199576280207081
ANOGA,OG899270,ANOGA04679,15.989858012170385,10.008746947709
ANOGA,OG456648,ANOGA04680,7.085918854415274,3.1618651489501737
ANOGA,OG1251552,ANOGA04696,20.252587991718425,5.967334174757648
ANOGA,OG1189787,ANOGA04698,27.833333333333332,9.00148010001298
ANOGA,OG962019,ANOGA04699,8.853427895981087,4.789890982623265
ANOGA,OG967514,ANOGA05706,26.16032719836401,15.10163457259203
ANOGA,OG762076,ANOGA05710,14.290030211480362,8.71366553573028
ANOGA,OG1198488,ANOGA05707,23.857777777777777,8.19002072684635
ANOGA,OG456691,ANOGA05703,12.04397705544933,7.557806358692745
ANOGA,OG1203459,ANOGA05696,6.621951219512195,5.868249092553469
ANOGA,OG1139996,ANOGA05695,12.250731707317073,4.434956699678029
ANOGA,OG1208321,ANOGA05692,22.274546827794563,10.693078140173458
ANOGA,OG1240968,ANOGA05685,11.125348189415043,5.597459132619494
ANOGA,OG961322,ANOGA05683,13.420924574209245,6.897614109992625
ANOGA,OG698997,ANOGA05682,27.210526315789473,17.48950747313418
ANOGA,OG1219581,ANOGA05679,18.196877121520707,11.027734758328206
ANOGA,OG823022,ANOGA05671,4.666666666666667,3.4346310292851845
ANOGA,OG1174608,ANOGA05668,3.72972972972973,1.0040094930273897
ANOGA,OG839253,ANOGA05660,7.047318611987381,2.887092028518704
ANOGA,OG1150674,ANOGA05653,12.954545454545455,5.418631768992417
ANOGA,OG348620,ANOGA05652,32.28238133547868,8.562010996365759
ANOGA,OG674682,ANOGA05648,14.36742934051144,5.341713723587682
ANOGA,OG964673,ANOGA05646,11.685612788632326,4.334862898339814
ANOGA,OG373241,ANOGA05645,19.41141141141141,4.016720547145865
